SentimentText,Sentiment
"Excelente iniciativa de reciclaje en mi barrio de Miraflores",Positivo
"La gente sigue tirando basura en la calle sin importarles nada",Negativo
"Me encanta la nueva campaña de reforestación en el parque Kennedy",Positivo
"El parque municipal de Barranco se ve mucho más limpio ahora",Positivo
"El camión recolector no pasa hace tres semanas en Villa El Salvador",Negativo
"Logramos juntar 200 kg de plástico hoy en el operativo, gran trabajo equipo",Positivo
"Las calles del Cercado de Lima huelen muy mal por la basura acumulada",Negativo
"Gracias por instalar nuevos tachos de reciclaje en la avenida Arequipa",Positivo
"Los árboles plantados en el malecón están creciendo muy bien",Positivo
"Vecinos de Surquillo queman basura en la madrugada, es un problema serio",Negativo
"La planta de reciclaje de San Juan de Lurigancho funciona de maravilla",Positivo
"No hay multas para los que ensucian el parque, nadie respeta nada",Negativo
"Gran participación comunitaria limpiando la playa de Chorrillos hoy",Positivo
"El contenedor verde está siempre lleno y rebalsa hace días",Negativo
"Hoy el clima estuvo agradable para el operativo de limpieza",Neutro
"Vi un folleto sobre el evento de reciclaje pero no pude asistir",Neutro
"El punto de recolección está en la avenida central del distrito",Neutro
"No tengo una opinión formada sobre el nuevo sistema de reciclaje",Neutro
"El horario de recolección cambió al mediodía desde el lunes",Neutro
"Se publicó una nueva ordenanza ambiental en el municipio ayer",Neutro
"Pasé por el parque y vi los nuevos basureros instalados",Neutro
"Están haciendo encuestas sobre el uso responsable del agua",Neutro
"Hay una reunión vecinal sobre residuos el próximo martes",Neutro
"El municipio de Surco instaló carteles informativos sobre reciclaje",Neutro
"Muy buen trabajo de la municipalidad de La Molina limpiando el parque",Positivo
"Desastre ecológico en el río Rímac, tiene espuma tóxica visible",Negativo
"Qué alegría ver a los niños del colegio reciclando con entusiasmo",Positivo
"Pésima gestión de residuos en el mercado de Magdalena, huele horrible",Negativo
"Estoy muy feliz con mi compostera nueva, produce abono genial",Positivo
"La contaminación del aire en el Callao es insoportable esta semana",Negativo
"Solo quería decir que el parque Reducto está abierto los domingos",Neutro
"El taller de reciclaje del sábado será de dos horas en la municipalidad",Neutro
"Hermoso día para cuidar la naturaleza en familia, qué experiencia",Positivo
"Todo el parque está lleno de plástico y botellas rotas, nadie recoge",Negativo
"Felicitaciones al equipo de limpieza por el operativo de ayer en Chorrillos",Positivo
"Es una vergüenza la cantidad de desperdicios cerca del río Surco",Negativo
"Gracias a los voluntarios que participaron en la jornada de limpieza",Positivo
"Los residuos electrónicos se acumulan sin control en el distrito",Negativo
"Me registré en la app para el siguiente operativo del mes que viene",Neutro
"El camión pasará los martes y jueves por la zona 4 del distrito",Neutro
"Increíble cómo mejoró el parque después del programa de limpieza comunitaria",Positivo
"Sigo viendo bolsas de basura tiradas en la puerta del colegio",Negativo
"Feliz de ver que la comunidad se organiza para reciclar correctamente",Positivo
"El desmonte de construcción lleva meses en la vereda sin que lo recojan",Negativo
"Fue un evento informativo sobre separación de residuos en el centro cívico",Neutro
"El formulario de reporte está disponible en la página web municipal",Neutro
"Qué orgullo que nuestro barrio gane el premio al más limpio de Lima",Positivo
"Encontré toneladas de basura en la quebrada cerca del cerro San Cristóbal",Negativo
"Los vecinos de San Borja están muy comprometidos con el reciclaje diario",Positivo
"Siguen botando aceite de cocina al desagüe, contamina mucho el agua",Negativo
"Voy a participar en el taller de compostaje del parque el próximo fin de semana",Neutro
"La charla sobre manejo de residuos orgánicos fue interesante e informativa",Neutro
"Me da mucho gusto ver tachos de colores para separar residuos en las escuelas",Positivo
"Es indignante que sigan usando plásticos de un solo uso en los mercados locales",Negativo
"Excelente campaña del municipio para reducir el uso de bolsas plásticas",Positivo
"El programa de reciclaje ayudó a reducir los residuos del barrio en un 30 por ciento",Positivo
"Los focos de basura clandestinos en Carabayllo siguen sin control del municipio",Negativo
"Recogimos más de 500 botellas de plástico en la limpieza de la playa de Asia",Positivo
"El río Chillón está completamente contaminado con residuos industriales y domésticos",Negativo
"La app de reciclaje me ayuda a encontrar los puntos de acopio más cercanos",Positivo
"Vergonzoso el estado del canal de riego en Ate, lleno de residuos sólidos",Negativo
"Participé en la jornada de reforestación en las Lomas de Carabayllo, fue genial",Positivo
"La acumulación de basura en el mercado central es un riesgo para la salud pública",Negativo
"Descargué la app para reportar puntos críticos de basura en mi distrito",Neutro
"El informe técnico sobre contaminación sonora está disponible en la web del municipio",Neutro
"Se habilitó un nuevo punto de acopio de botellas PET en el parque de la esquina",Neutro
"La municipalidad enviará un comunicado sobre el nuevo calendario de recolección",Neutro
"Confirmo que el taller de reciclaje de papel se realizará el próximo sábado",Neutro
"El índice de residuos reciclados subió este trimestre según el último reporte",Neutro
